cohort_id,name,start_date,end_date,program_id
1,Arches,2014-02-04,2014-04-22,1
2,Badlands,2014-06-04,2014-08-22,1
3,Carlsbad,2014-09-04,2014-11-05,1
4,Denali,2014-10-20,2015-01-18,1
5,Everglades,2014-11-18,2015-02-24,1
6,Franklin,2015-02-03,2015-05-26,1
7,Glacier,2015-06-05,2015-10-06,1
8,Hampton,2015-09-22,2016-02-06,1
9,Apollo,2015-03-30,2015-07-29,4
10,Balboa,2015-11-03,2016-03-11,4
11,Ike,2016-01-20,2016-05-12,1
12,Joshua,2016-03-08,2016-06-30,1
13,Kings,2016-05-23,2016-09-15,1
14,Lassen,2016-07-18,2016-11-10,1
15,Mammoth,2016-09-26,2017-02-02,2
16,Niagara,2016-10-26,2017-03-09,2
17,Olympic,2017-02-06,2017-05-25,1
18,Pinnacles,2017-03-27,2017-07-20,2
19,Quincy,2017-06-05,2017-09-22,1
20,Redwood,2017-07-31,2017-12-06,2
21,Sequoia,2017-09-27,2018-02-15,2
22,Teddy,2018-01-08,2018-05-17,2
23,Ulysses,2018-03-05,2018-07-19,2
24,Voyageurs,2018-05-29,2018-10-11,2
25,Wrangell,2018-07-23,2018-11-29,2
26,Xanadu,2018-09-17,2019-02-08,2
27,Yosemite,2018-11-05,2019-04-03,2
28,Staff,2014-02-04,2014-02-04,2
29,Zion,2019-01-22,2019-06-04,2
30,Ada,2019-02-04,2019-06-16,3
31,Andromeda,2019-03-18,2019-07-30,2
32,Betelgeuse,2019-05-28,2019-10-08,2
33,Ceres,2019-07-15,2019-12-11,2
34,Bayes,2019-08-19,2020-01-30,3
51,Deimos,2019-09-16,2020-02-27,2
52,Europa,2019-11-04,2020-04-17,2
53,Fortuna,2020-01-13,2020-06-23,2
55,Curie,2020-02-03,2020-07-07,3
56,Apex,2020-02-24,2020-07-29,2
57,Ganymede,2020-03-23,2020-08-20,2
58,Hyperion,2020-05-26,2020-11-10,2
59,Darden,2020-07-13,2021-01-12,3
60,Io,2020-07-20,2021-01-21,2
61,Bash,2020-07-20,2021-01-21,2
62,Jupiter,2020-09-21,2021-03-30,2
132,Kalypso,2020-11-02,2021-05-04,2
